StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Last Seen Flow Element ID,Last Seen Question IDs,Q1,Q2,Q5_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Last Seen Flow Element ID,Last Seen Question IDs,Enter your participant id,What is your preferred level of proactivity for an in-vehicle assistant when responding to phone calls?,"To what extent do you agree or disagree with the following statement?

How proactively the assistant handles an incoming call should depend on my driving context (e.g., traffic density, driver workload)."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""LastSeenFlowID""}","{""ImportId"":""LastSeenQuestions""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID5_1""}"
2026-08-26 09:08:07,2026-08-26 09:09:14,IP Address,144.82.8.207,100,66,True,2026-08-26 09:09:14,R_2Nwsib2TmBPkRZK,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,011,Level 3: System performs task with user approval.,6
2026-08-26 10:33:15,2026-08-26 10:33:44,IP Address,144.82.8.207,100,29,True,2026-08-26 10:33:45,R_2rkZGOMVN1p9PPC,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,001,Level 4: System performs task pending user veto.,7
2026-08-27 02:35:25,2026-08-27 02:36:04,IP Address,144.82.8.207,100,39,True,2026-08-27 02:36:05,R_2e8TJh3cgVOrtUV,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,003,Level 3: System performs task with user approval.,5
2026-08-27 04:48:26,2026-08-27 04:49:07,IP Address,144.82.8.207,100,41,True,2026-08-27 04:49:08,R_21T2l2RMNoNGZsc,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,010,Level 3: System performs task with user approval.,4
2026-08-27 05:50:57,2026-08-27 05:51:21,IP Address,144.82.8.207,100,23,True,2026-08-27 05:51:21,R_8uVPUlXALdfkEIN,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,007,Level 2: User performs task with system support.,6
2026-08-27 07:53:55,2026-08-27 07:55:09,IP Address,144.82.8.207,100,73,True,2026-08-27 07:55:10,R_8ADzw2OeXygBbJT,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,012,Level 4: System performs task pending user veto.,7
2026-08-28 03:16:48,2026-08-28 03:17:27,IP Address,144.82.8.207,100,39,True,2026-08-28 03:17:28,R_2be7rgeYjfn726d,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,006,Level 3: System performs task with user approval.,3
2026-08-28 05:53:58,2026-08-28 05:54:29,IP Address,144.82.8.207,100,30,True,2026-08-28 05:54:30,R_89gd7n10skLPvPP,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,009,Level 2: User performs task with system support.,2
2026-08-28 07:12:44,2026-08-28 07:14:28,IP Address,144.82.8.207,100,103,True,2026-08-28 07:14:28,R_2nU7P6EyoWFsenz,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,008,Level 3: System performs task with user approval.,4
2026-08-28 08:41:58,2026-08-28 08:43:19,IP Address,144.82.8.207,100,81,True,2026-08-28 08:43:20,R_2LSYNJ8pr7urCAN,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,004,Level 3: System performs task with user approval.,6
2026-08-28 10:06:43,2026-08-28 10:07:18,IP Address,144.82.8.207,100,35,True,2026-08-28 10:07:19,R_23XIiPZ42KMWqKB,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,002,Level 3: System performs task with user approval.,7
2026-08-28 11:17:45,2026-08-28 11:18:11,IP Address,144.82.8.207,100,26,True,2026-08-28 11:18:12,R_2VfRwMxDoMoxDW1,,,,,51.5415,-0.1445,anonymous,EN,FL_EOS_ID,,005,Level 3: System performs task with user approval.,2
