logged_ts,session_id,participantid,block_idx,k_condition,vdl_scale_points,intui_scale_points,proactivity_scale_points,duration_s,vdl1_raw,vdl2_raw,vdl3_raw,vdl4_raw,vdl5_raw,vdl6_raw,vdl7_raw,vdl8_raw,vdl9_raw,vdl1_scored,vdl2_scored,vdl3_scored,vdl4_scored,vdl5_scored,vdl6_scored,vdl7_scored,vdl8_scored,vdl9_scored,vdl_usefulness_mean,vdl_satisfying_mean,vdl_usefulness_centered,vdl_satisfying_centered,intui1_raw,intui2_raw,intui3_raw,intui4_raw,intui1_scored,intui2_scored,intui3_scored,intui4_scored,intui_magical_mean,intui_magical_centered,proactivity1_raw,proactivity1_scored,proactivity_mean,proactivity_centered,notes
2026-08-26T16:48:22,5e1bbed0-3ed3-44b8-88dd-c9fba6fc471c,011,1,1,5,7,5,148.3,2,2,4,1,2,4,2,5,2,4,4,4,5,4,4,4,5,4,4.0,4.5,1.0,1.5,2,5,4,3,6,5,4,5,5.0,1.0,4,4,4.0,1.0,
2026-08-26T17:00:41,2b02c00c-82ea-4335-859b-cfe809a2ce71,011,2,0,5,7,5,65.5,1,2,4,2,1,4,1,4,3,5,4,4,4,5,4,5,4,3,4.4,4.0,1.4,1.0,2,5,4,3,6,5,4,5,5.0,1.0,5,5,5.0,2.0,
2026-08-26T17:13:38,fc1c7b53-edfd-47d4-bc96-766230fc00d3,011,3,2,5,7,5,44.9,1,1,5,1,1,4,1,4,2,5,5,5,5,5,4,5,4,4,4.8,4.5,1.8,1.5,1,5,5,3,7,5,5,5,5.5,1.5,5,5,5.0,2.0,
2026-08-26T17:59:55,fa2875b5-6371-4b6e-9db7-b19245e36d99,001,1,2,5,7,5,73.0,1,2,5,1,1,5,1,5,2,5,4,5,5,5,5,5,5,4,4.8,4.75,1.8,1.75,4,4,4,5,4,4,4,3,3.75,-0.25,4,4,4.0,1.0,
2026-08-26T18:14:54,a996fe76-4ff9-4d6e-8a08-fcdf897e97ed,001,2,0,5,7,5,34.6,1,1,5,1,1,4,1,5,2,5,5,5,5,5,4,5,5,4,4.8,4.75,1.8,1.75,4,4,4,4,4,4,4,4,4.0,0.0,4,4,4.0,1.0,
2026-08-26T18:28:50,216626fe-3c55-4281-8407-6f8bd058a3c9,001,3,1,5,7,5,36.8,1,1,5,1,1,2,1,5,2,5,5,5,5,5,2,5,5,4,4.8,4.25,1.8,1.25,4,4,4,4,4,4,4,4,4.0,0.0,4,4,4.0,1.0,
2026-08-27T10:02:50,8ac06c8a-3efb-4df0-977b-a3f1d17ee879,003,1,0,5,7,5,67.1,1,1,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5.0,5.0,2.0,2.0,2,3,4,3,6,3,4,5,4.5,0.5,4,4,4.0,1.0,
2026-08-27T10:16:49,89267b91-d774-4ac0-97e7-a8d213a7a57d,003,2,1,5,7,5,133.6,1,1,5,1,1,4,1,5,1,5,5,5,5,5,4,5,5,5,5.0,4.75,2.0,1.75,2,3,4,4,6,3,4,4,4.25,0.25,4,4,4.0,1.0,
2026-08-27T10:30:05,4dda9d54-efd0-48d0-96f7-85094c6e2655,003,3,2,5,7,5,39.0,1,1,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5.0,5.0,2.0,2.0,2,4,4,3,6,4,4,5,4.75,0.75,4,4,4.0,1.0,
2026-08-27T12:14:53,a04adfbc-67af-4254-a6bb-53dbd0c5cbe2,010,1,0,5,7,5,113.1,4,3,3,2,5,3,4,1,5,2,3,3,4,1,3,2,1,1,1.8,2.75,-1.2,-0.25,3,4,1,7,5,4,1,1,2.75,-1.25,4,4,4.0,1.0,
2026-08-27T12:28:08,4694d996-5c93-41d2-a6f0-9a8749b09c5b,010,2,2,5,7,5,60.7,3,3,4,3,5,2,5,1,5,3,3,4,3,1,2,1,1,1,2.0,2.25,-1.0,-0.75,5,1,3,6,3,1,3,2,2.25,-1.75,3,3,3.0,0.0,
2026-08-27T12:41:07,99175849-3742-4a0b-be3d-085c94025c3e,010,3,1,5,7,5,47.3,4,3,3,4,5,3,5,2,5,2,3,3,2,1,3,1,2,1,1.6,2.5,-1.4,-0.5,5,1,2,7,3,1,2,1,1.75,-2.25,2,2,2.0,-1.0,
2026-08-27T13:18:10,cc623058-8778-4934-8479-7fdb71cd5b7a,007,1,0,5,7,5,45.3,2,2,3,3,2,3,2,3,2,4,4,3,3,4,3,4,3,4,3.8,3.25,0.8,0.25,3,4,4,3,5,4,4,5,4.5,0.5,2,2,2.0,-1.0,
2026-08-27T13:30:38,3544d04c-eb15-4146-b165-61dd79810c38,007,2,2,5,7,5,63.6,2,2,3,2,2,3,2,3,2,4,4,3,4,4,3,4,3,4,3.8,3.5,0.8,0.5,3,4,3,3,5,4,3,5,4.25,0.25,2,2,2.0,-1.0,
2026-08-27T13:44:53,68072a6e-8233-4c1f-84f4-c340a49b2f86,007,3,1,5,7,5,26.4,2,2,3,2,2,3,2,3,2,4,4,3,4,4,3,4,3,4,3.8,3.5,0.8,0.5,3,4,4,3,5,4,4,5,4.5,0.5,3,3,3.0,0.0,
2026-08-27T15:19:16,c2de2fa3-f597-4000-af70-a7d2f320401c,012,1,0,5,7,5,83.7,2,2,4,2,2,3,2,4,3,4,4,4,4,4,3,4,4,3,3.8,3.75,0.8,0.75,4,1,3,4,4,1,3,4,3.0,-1.0,4,4,4.0,1.0,
2026-08-27T15:32:50,d9d4dc85-0e6c-40a1-9938-36bd1635b339,012,2,1,5,7,5,75.3,3,2,3,2,3,3,2,5,5,3,4,3,4,3,3,4,5,1,2.8,4.0,-0.2,1.0,3,2,2,4,5,2,2,4,3.25,-0.75,2,2,2.0,-1.0,
2026-08-27T15:48:16,f87197b8-1913-4869-be4e-ea65008e7cc7,012,3,2,5,7,5,46.5,2,2,4,2,3,3,2,4,3,4,4,4,4,3,3,4,4,3,3.6,3.75,0.6,0.75,5,1,2,5,3,1,2,3,2.25,-1.75,4,4,4.0,1.0,
2026-08-28T10:45:40,fd27de40-981e-405a-8c6e-631f5c142614,006,1,2,5,7,5,89.4,3,4,3,4,3,2,3,3,1,3,2,3,2,3,2,3,3,5,3.4,2.25,0.4,-0.75,4,4,4,4,4,4,4,4,4.0,0.0,2,2,2.0,-1.0,
2026-08-28T10:59:42,6ff61445-0b10-4d08-9750-d3e067176d7d,006,2,1,5,7,5,40.3,2,2,4,2,2,4,2,4,3,4,4,4,4,4,4,4,4,3,3.8,4.0,0.8,1.0,4,5,4,4,4,5,4,4,4.25,0.25,5,5,5.0,2.0,
2026-08-28T11:13:03,dd9d5318-db43-4de7-b4d0-c5f75f4252c3,006,3,0,5,7,5,35.0,1,5,5,1,1,5,1,4,3,5,1,5,5,5,5,5,4,3,4.6,3.75,1.6,0.75,4,5,4,4,4,5,4,4,4.25,0.25,5,5,5.0,2.0,
2026-08-28T13:30:25,6760b8b3-4040-4eb8-bb39-2c0fcc0c0152,009,1,2,5,7,5,45.2,2,2,4,2,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3.4,3.5,0.4,0.5,7,1,1,5,1,1,1,3,1.5,-2.5,3,3,3.0,0.0,
2026-08-28T13:43:16,576258ef-5922-476a-9102-b3e757fecc51,009,2,1,5,7,5,35.6,2,2,3,3,4,3,4,3,3,4,4,3,3,2,3,2,3,3,2.8,3.25,-0.2,0.25,7,1,1,4,1,1,1,4,1.75,-2.25,3,3,3.0,0.0,
2026-08-28T13:55:53,63aff881-f437-441c-a95e-480a2ed16d2a,009,3,0,5,7,5,28.9,5,4,2,4,5,2,5,2,3,1,2,2,2,1,2,1,2,3,1.6,2.0,-1.4,-1.0,7,1,1,6,1,1,1,2,1.25,-2.75,1,1,1.0,-2.0,
2026-08-28T14:41:42,abd21588-f89c-4243-8b40-ae13713ca230,008,1,1,5,7,5,155.6,1,1,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5.0,5.0,2.0,2.0,3,4,4,3,5,4,4,5,4.5,0.5,5,5,5.0,2.0,
2026-08-28T15:02:58,2c9924c6-eb6e-465a-b425-31a61d9e83ca,008,2,2,5,7,5,52.5,3,3,3,4,4,2,2,3,3,3,3,3,2,2,2,4,3,3,3.0,2.5,0.0,-0.5,4,3,4,4,4,3,4,4,3.75,-0.25,3,3,3.0,0.0,
2026-08-28T15:14:22,387f328e-5626-4095-bccb-89829f5555dc,008,3,0,5,7,5,37.6,4,4,3,4,3,2,3,3,3,2,2,3,2,3,2,3,3,3,2.8,2.25,-0.2,-0.75,5,3,4,5,3,3,4,3,3.25,-0.75,3,3,3.0,0.0,
2026-08-28T16:10:33,2e2d6c27-8f5a-40dd-a1fe-3324be9a329b,004,1,1,5,7,5,233.5,1,2,5,2,1,4,2,5,3,5,4,5,4,5,4,4,5,3,4.4,4.25,1.4,1.25,4,4,4,4,4,4,4,4,4.0,0.0,5,5,5.0,2.0,
2026-08-28T16:25:26,5da3b01a-46b2-49f5-ac86-40c7a2276c7a,004,2,0,5,7,5,114.4,4,4,2,4,3,2,3,2,2,2,2,2,2,3,2,3,2,4,2.8,2.0,-0.2,-1.0,4,5,5,3,4,5,5,5,4.75,0.75,2,2,2.0,-1.0,
2026-08-28T16:39:23,15ce0dae-8585-437b-8206-653a406836d8,004,3,2,5,7,5,54.9,1,1,5,2,1,4,1,5,2,5,5,5,4,5,4,5,5,4,4.8,4.5,1.8,1.5,4,4,4,3,4,4,4,5,4.25,0.25,4,4,4.0,1.0,
2026-08-28T17:34:45,dbcb146d-773e-487f-9c93-dd64ff9e784d,002,1,1,5,7,5,73.0,2,2,5,3,2,1,2,4,3,4,4,5,3,4,1,4,4,3,4.0,3.0,1.0,0.0,6,1,1,7,2,1,1,1,1.25,-2.75,4,4,4.0,1.0,
2026-08-28T17:46:40,40afc317-37c4-4bd5-a486-dfb1e1092b3b,002,2,2,5,7,5,55.1,2,2,4,3,2,3,2,3,3,4,4,4,3,4,3,4,3,3,3.8,3.25,0.8,0.25,6,2,1,7,2,2,1,1,1.5,-2.5,4,4,4.0,1.0,
2026-08-28T18:02:08,263a0879-c279-4ad1-8cfb-eea801812ef4,002,3,0,5,7,5,50.2,2,3,2,3,2,2,2,3,2,4,3,2,3,4,2,4,3,4,3.6,2.75,0.6,-0.25,7,1,1,7,1,1,1,1,1.0,-3.0,2,2,2.0,-1.0,
2026-08-28T18:44:32,d27978f7-cbf2-42bd-ace1-28543e4adb20,005,1,2,5,7,5,94.6,2,2,4,4,3,4,3,4,3,4,4,4,2,3,4,3,4,3,3.4,3.5,0.4,0.5,4,2,3,4,4,2,3,4,3.25,-0.75,4,4,4.0,1.0,
2026-08-28T18:58:27,e70badc8-b0e6-4c98-9f58-77dea9ab6270,005,2,0,5,7,5,59.3,2,2,3,4,3,3,4,3,3,4,4,3,2,3,3,2,3,3,3.0,3.0,0.0,0.0,4,3,2,4,4,3,2,4,3.25,-0.75,4,4,4.0,1.0,
2026-08-28T19:12:24,6e65a50e-ed70-4e49-b078-34c11cdf3c82,005,3,1,5,7,5,45.9,2,2,4,3,3,4,3,3,3,4,4,4,3,3,4,3,3,3,3.4,3.5,0.4,0.5,3,3,3,4,5,3,3,4,3.75,-0.25,4,4,4.0,1.0,
