pid,l2sp_mae,anil_mae,l2sp_acc,anil_acc,mae_delta,acc_delta,anil_better
001,1.8728,1.9332,0.283,0.2734,0.0604,-0.0095,False
002,1.1681,1.3676,0.4181,0.3508,0.1996,-0.0672,False
003,0.9984,0.725,0.399,0.4722,-0.2734,0.0731,True
004,0.4031,0.3201,0.6851,0.7266,-0.083,0.0415,True
005,0.8791,0.9837,0.4673,0.402,0.1046,-0.0654,False
006,1.0034,1.3227,0.5143,0.3496,0.3193,-0.1647,False
007,0.911,1.0244,0.6212,0.528,0.1133,-0.0933,False
008,0.8684,0.822,0.3189,0.3638,-0.0464,0.0449,True
009,0.4765,0.6118,0.7721,0.7118,0.1353,-0.0603,False
010,0.9149,0.743,0.6486,0.6641,-0.1718,0.0155,True
011,1.6151,1.5647,0.2403,0.1849,-0.0504,-0.0555,True
012,1.1546,1.0941,0.3395,0.3849,-0.0605,0.0454,True
