pid,k,variant,fit_on,set_mae,set_acc,n_val,n_support,n_functions_seen,n_fallback,mean_cell_rows,set_mae_tail,set_acc_tail,n_val_tail
001,5,driver,support,1.3949579831932772,0.14285714285714285,119,5,4,0,1.25,nan,nan,0
001,10,driver,support,1.4210526315789473,0.14035087719298245,114,10,5,0,2.0,nan,nan,0
001,20,driver,support,1.4903846153846154,0.125,104,20,5,0,4.0,nan,nan,0
001,30,driver,support,1.5851063829787233,0.09574468085106383,94,30,5,0,6.0,nan,nan,0
001,40,driver,support,2.107142857142857,0.2857142857142857,84,40,5,0,8.0,nan,nan,0
001,50,driver,support,1.635135135135135,0.0945945945945946,74,50,5,0,10.0,nan,nan,0
001,60,driver,support,1.5,0.109375,64,60,5,0,12.0,nan,nan,0
002,5,driver,support,1.2134831460674158,0.4943820224719101,89,5,4,0,1.25,nan,nan,0
002,10,driver,support,1.2142857142857142,0.4880952380952381,84,10,5,0,2.0,nan,nan,0
002,20,driver,support,1.2702702702702702,0.0945945945945946,74,20,5,0,4.0,nan,nan,0
002,30,driver,support,1.265625,0.5,64,30,5,0,6.0,nan,nan,0
002,40,driver,support,1.2592592592592593,0.5,54,40,5,0,8.0,nan,nan,0
002,50,driver,support,1.3863636363636365,0.022727272727272728,44,50,5,0,10.0,nan,nan,0
002,60,driver,support,1.4411764705882353,0.0,34,60,5,0,12.0,nan,nan,0
003,5,driver,support,1.4871794871794872,0.09401709401709402,117,5,4,0,1.25,nan,nan,0
003,10,driver,support,1.4642857142857142,0.1875,112,10,5,0,2.0,nan,nan,0
003,20,driver,support,1.4705882352941178,0.18627450980392157,102,20,5,0,4.0,nan,nan,0
003,30,driver,support,1.4456521739130435,0.1956521739130435,92,30,5,0,6.0,nan,nan,0
003,40,driver,support,1.4390243902439024,0.21951219512195122,82,40,5,0,8.0,nan,nan,0
003,50,driver,support,1.375,0.2361111111111111,72,50,5,0,10.0,nan,nan,0
003,60,driver,support,1.3870967741935485,0.0967741935483871,62,60,5,0,12.0,nan,nan,0
004,5,driver,support,0.46788990825688076,0.5321100917431193,109,5,3,0,1.6666666666666667,nan,nan,0
004,10,driver,support,0.4807692307692308,0.5192307692307693,104,10,4,0,2.5,nan,nan,0
004,20,driver,support,0.48936170212765956,0.5106382978723404,94,20,5,0,4.0,nan,nan,0
004,30,driver,support,0.5,0.5,84,30,5,0,6.0,nan,nan,0
004,40,driver,support,0.47297297297297297,0.527027027027027,74,40,5,0,8.0,nan,nan,0
004,50,driver,support,0.484375,0.515625,64,50,5,0,10.0,nan,nan,0
004,60,driver,support,0.5925925925925926,0.4074074074074074,54,60,5,0,12.0,nan,nan,0
005,5,driver,support,1.4,0.1565217391304348,115,5,4,0,1.25,nan,nan,0
005,10,driver,support,1.4181818181818182,0.14545454545454545,110,10,5,0,2.0,nan,nan,0
005,20,driver,support,1.02,0.36,100,20,5,0,4.0,nan,nan,0
005,30,driver,support,1.0222222222222221,0.3888888888888889,90,30,5,0,6.0,nan,nan,0
005,40,driver,support,1.0125,0.4,80,40,5,0,8.0,nan,nan,0
005,50,driver,support,0.9,0.42857142857142855,70,50,5,0,10.0,nan,nan,0
005,60,driver,support,0.9333333333333333,0.4166666666666667,60,60,5,0,12.0,nan,nan,0
006,5,driver,support,1.1441441441441442,0.35135135135135137,111,5,4,0,1.25,nan,nan,0
006,10,driver,support,1.150943396226415,0.3584905660377358,106,10,4,0,2.5,nan,nan,0
006,20,driver,support,1.1875,0.3645833333333333,96,20,5,0,4.0,nan,nan,0
006,30,driver,support,1.2093023255813953,0.37209302325581395,86,30,5,0,6.0,nan,nan,0
006,40,driver,support,1.236842105263158,0.35526315789473684,76,40,5,0,8.0,nan,nan,0
006,50,driver,support,1.2121212121212122,0.36363636363636365,66,50,5,0,10.0,nan,nan,0
006,60,driver,support,1.25,0.35714285714285715,56,60,5,0,12.0,nan,nan,0
007,5,driver,support,1.3969465648854962,0.3511450381679389,131,5,4,0,1.25,nan,nan,0
007,10,driver,support,1.4206349206349207,0.3412698412698413,126,10,5,0,2.0,nan,nan,0
007,20,driver,support,1.4224137931034482,0.35344827586206895,116,20,5,0,4.0,nan,nan,0
007,30,driver,support,1.5,0.330188679245283,106,30,5,0,6.0,nan,nan,0
007,40,driver,support,1.4791666666666667,0.3541666666666667,96,40,5,0,8.0,nan,nan,0
007,50,driver,support,1.4767441860465116,0.38372093023255816,86,50,5,0,10.0,nan,nan,0
007,60,driver,support,1.4736842105263157,0.3684210526315789,76,60,5,0,12.0,nan,nan,0
008,5,driver,support,0.6115702479338843,0.3884297520661157,121,5,5,0,1.0,nan,nan,0
008,10,driver,support,0.6120689655172413,0.3879310344827586,116,10,5,0,2.0,nan,nan,0
008,20,driver,support,0.5943396226415094,0.4056603773584906,106,20,5,0,4.0,nan,nan,0
008,30,driver,support,0.625,0.375,96,30,5,0,6.0,nan,nan,0
008,40,driver,support,0.6627906976744186,0.3372093023255814,86,40,5,0,8.0,nan,nan,0
008,50,driver,support,0.6973684210526315,0.3026315789473684,76,50,5,0,10.0,nan,nan,0
008,60,driver,support,0.6818181818181818,0.3181818181818182,66,60,5,0,12.0,nan,nan,0
009,5,driver,support,1.5813953488372092,0.2558139534883721,129,5,5,0,1.0,nan,nan,0
009,10,driver,support,2.1129032258064515,0.4032258064516129,124,10,5,0,2.0,nan,nan,0
009,20,driver,support,2.175438596491228,0.38596491228070173,114,20,5,0,4.0,nan,nan,0
009,30,driver,support,2.201923076923077,0.375,104,30,5,0,6.0,nan,nan,0
009,40,driver,support,2.2127659574468086,0.3723404255319149,94,40,5,0,8.0,nan,nan,0
009,50,driver,support,1.5238095238095237,0.2857142857142857,84,50,5,0,10.0,nan,nan,0
009,60,driver,support,1.527027027027027,0.28378378378378377,74,60,5,0,12.0,nan,nan,0
010,5,driver,support,1.032520325203252,0.6422764227642277,123,5,4,0,1.25,nan,nan,0
010,10,driver,support,1.0084745762711864,0.6440677966101694,118,10,5,0,2.0,nan,nan,0
010,20,driver,support,1.0648148148148149,0.6296296296296297,108,20,5,0,4.0,nan,nan,0
010,30,driver,support,1.1020408163265305,0.6326530612244898,98,30,5,0,6.0,nan,nan,0
010,40,driver,support,1.0454545454545454,0.6477272727272727,88,40,5,0,8.0,nan,nan,0
