pid,l2sp_mae,anil_mae,l2sp_acc,anil_acc,mae_delta,acc_delta
001,0.8352,0.8571,0.2198,0.2527,0.022,0.033
002,0.5077,0.8154,0.4923,0.1846,0.3077,-0.3077
003,0.8462,0.4615,0.4038,0.5769,-0.3846,0.1731
004,0.0923,0.0308,0.9077,0.9692,-0.0615,0.0615
005,0.7404,0.75,0.3269,0.3269,0.0096,0.0
006,0.6923,0.5934,0.4066,0.4066,-0.0989,0.0
007,0.2981,0.3846,0.7019,0.6154,0.0865,-0.0865
008,1.3846,1.3269,0.1538,0.1923,-0.0577,0.0385
009,0.3558,0.4135,0.6442,0.625,0.0577,-0.0192
010,0.044,0.0879,0.956,0.9121,0.044,-0.044
011,0.8846,0.9385,0.3615,0.3462,0.0538,-0.0154
012,0.2949,0.4231,0.7051,0.5769,0.1282,-0.1282
