pid,l2sp_mae,lookup_mae,l2sp_acc,lookup_acc,mae_delta,acc_delta
001,0.8352,1.0,0.2198,0.1429,0.1648,-0.0769
002,0.5077,0.8462,0.4923,0.1538,0.3385,-0.3385
003,0.8462,0.375,0.4038,0.625,-0.4712,0.2212
004,0.0923,0.0,0.9077,1.0,-0.0923,0.0923
005,0.7404,0.75,0.3269,0.25,0.0096,-0.0769
006,0.6923,0.5385,0.4066,0.4615,-0.1538,0.0549
007,0.2981,0.4135,0.7019,0.5865,0.1154,-0.1154
008,1.3846,1.5,0.1538,0.125,0.1154,-0.0288
009,0.3558,0.25,0.6442,0.75,-0.1058,0.1058
010,0.044,0.0,0.956,1.0,-0.044,0.044
011,0.8846,0.3,0.3615,0.7,-0.5846,0.3385
012,0.2949,0.5385,0.7051,0.5385,0.2436,-0.1667
