pid,l2sp_mae,anil_mae,l2sp_acc,anil_acc,mae_delta,acc_delta
001,0.6303,0.5966,0.4454,0.4874,-0.0336,0.042
002,0.8,0.9294,0.3529,0.2588,0.1294,-0.0941
003,1.3603,0.6176,0.2426,0.4926,-0.7426,0.25
004,0.0941,0.0235,0.9059,0.9765,-0.0706,0.0706
005,0.7059,0.7647,0.3235,0.2574,0.0588,-0.0662
006,0.5966,0.521,0.5966,0.5378,-0.0756,-0.0588
007,0.3676,0.4338,0.6471,0.5956,0.0662,-0.0515
008,1.0515,0.9485,0.2132,0.2574,-0.1029,0.0441
009,0.4044,0.7721,0.6176,0.4118,0.3676,-0.2059
010,1.2521,1.3697,0.2521,0.2437,0.1176,-0.0084
011,1.5471,1.5,0.2412,0.2176,-0.0471,-0.0235
012,0.6765,0.6471,0.3235,0.3627,-0.0294,0.0392
