pid,l2sp_mae,lookup_mae,l2sp_acc,lookup_acc,mae_delta,acc_delta
001,0.6303,0.9328,0.4454,0.2353,0.3025,-0.2101
002,0.8,1.2353,0.3529,0.0,0.4353,-0.3529
003,1.3603,0.7132,0.2426,0.5147,-0.6471,0.2721
004,0.0941,0.0,0.9059,1.0,-0.0941,0.0941
005,0.7059,0.6765,0.3235,0.3235,-0.0294,0.0
006,0.5966,0.9412,0.5966,0.1765,0.3445,-0.4202
007,0.3676,0.5662,0.6471,0.5735,0.1985,-0.0735
008,1.0515,1.4559,0.2132,0.1324,0.4044,-0.0809
009,0.4044,0.25,0.6176,0.75,-0.1544,0.1324
010,1.2521,0.3529,0.2521,0.8235,-0.8992,0.5714
011,1.5471,1.1824,0.2412,0.3,-0.3647,0.0588
012,0.6765,1.2353,0.3235,0.1176,0.5588,-0.2059
