dropout,lr,window_seconds,loss,fold,val_pids,seed,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,lbl_loa0,lbl_loa1,lbl_loa2,lbl_loa3,lbl_loa4,trn_loa0,trn_loa1,trn_loa2,trn_loa3,trn_loa4,adapt_at_best,best_adapt_mae,smoothed_best_adapt_mae,best_epoch_smoothed_adapt,best_epoch_1se_adapt,adapt_acc_at_best_adapt,adapt_n_drivers,init_adapt_set_mae,init_adapt_set_acc,adapt_mae_tail,adapt_acc_tail,adapt_mae_argmax,adapt_acc_argmax,adapt_mae_median,adapt_acc_median,embed_fcd,adapt_mae_k5,adapt_acc_k5,adapt_mae_k10,adapt_acc_k10,adapt_mae_k20,adapt_acc_k20,adapt_mae_k30,adapt_acc_k30,adapt_mae_k40,adapt_acc_k40,adapt_mae_k50,adapt_acc_k50,adapt_mae_k60,adapt_acc_k60
0.1,0.001,20.0,corn,0,001|005,1,1.5491803278688525,1.6133879781420764,23,21,23,24,0.3114754098360656,0.07154484779423742,244,1.5532786885245902,0.3237704918032787,1.5655737704918034,0.3114754098360656,80.0,54.0,68.0,28.0,14.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227,1.4099026131680001,1.1963484064178094,1.2816727078225478,3,3,0.4067043901378401,2.0,1.3235196421769533,0.3170655117843654,1.330952380952381,0.36904761904761907,1.1951797802740907,0.4269641645098783,1.1963484064178094,0.4067043901378401,0,1.219218122031421,0.3202411399342346,1.2248006379585328,0.36929824561403507,1.1803846153846154,0.4121153846153846,1.2319148936170212,0.40815602836879433,1.300892857142857,0.4041666666666667,1.252123552123552,0.43243243243243246,0.9651041666666667,0.5005208333333333
0.1,0.001,20.0,corn,0,001|005,0,1.5204918032786885,1.5540983606557375,14,12,14,24,0.2827868852459016,0.11158724961205002,244,1.5819672131147542,0.29918032786885246,1.5450819672131149,0.2827868852459016,64.0,73.0,75.0,19.0,13.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227,1.3473477550602997,1.247039135427833,1.2815520036150225,4,3,0.3695070494386675,2.0,1.2965231917669588,0.31768585231329227,1.426190476190476,0.3357142857142857,1.3320258942935754,0.38853057870213653,1.291628970788563,0.3695070494386675,1,1.514724150529777,0.2132992327365729,1.4358054226475279,0.29330143540669856,1.1578846153846154,0.3878846153846154,1.2453900709219858,0.3808510638297873,1.3217261904761903,0.37351190476190477,1.2955598455598456,0.4106177606177606,1.0703125,0.5270833333333333
0.1,0.001,20.0,corn,0,001|005,1,1.5204918032786885,1.5934426229508198,10,9,10,30,0.25,0.03204716192213852,244,1.6639344262295082,0.3237704918032787,1.6557377049180328,0.25,79.0,59.0,90.0,12.0,4.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227,1.3272737103916428,1.1815415130243696,1.292121090886124,10,3,0.3087426825138417,2.0,1.2761556590298802,0.35474347403423767,1.3690476190476188,0.3119047619047619,1.307797909902917,0.35330299371286944,1.3272737103916428,0.3087426825138417,1,1.4934234563390574,0.25184508586043114,1.4373205741626793,0.29003189792663475,1.394423076923077,0.28384615384615386,1.4797872340425533,0.23853427895981089,1.3928571428571428,0.28095238095238095,1.1384169884169886,0.3967181467181467,0.9546875,0.41927083333333337
0.1,0.001,20.0,corn,0,001|005,0,1.4180327868852458,1.5778688524590163,20,20,20,36,0.29098360655737704,0.09291159119177828,244,1.5737704918032787,0.29098360655737704,1.5573770491803278,0.29098360655737704,66.0,63.0,57.0,28.0,30.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227,1.2899576193036917,1.140167948183122,1.1907654297265133,15,14,0.41115928513247063,2.0,1.3431748453312833,0.29433697038126594,1.111904761904762,0.3880952380952381,1.1860099044444303,0.4292565300065858,1.140167948183122,0.41115928513247063,0,1.3685421994884912,0.3537084398976982,1.366108452950558,0.34282296650717703,1.0713461538461537,0.38711538461538464,1.0242316784869976,0.4074468085106383,1.0875,0.41577380952380955,1.0025096525096524,0.48687258687258683,1.0609375,0.484375
0.1,0.001,20.0,corn,1,002|006,0,1.1523809523809523,1.502857142857143,3,3,3,24,0.29523809523809524,-0.11474119941158367,210,1.7571428571428571,0.319047619047619,1.5571428571428572,0.29523809523809524,37.0,59.0,44.0,25.0,45.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312,1.0665037103854242,1.0665037103854242,1.1781901848072784,5,3,0.41040474413547934,2.0,1.2264727224425598,0.4040721990667625,1.342857142857143,0.3523809523809524,1.211785394048574,0.45935758162503604,1.1881043009006382,0.41040474413547934,1,1.6053244255491448,0.2643486182812026,1.56233153638814,0.2962713387241689,1.4887387387387387,0.33811936936936937,1.2267441860465116,0.36773255813953487,1.0270467836257309,0.39692982456140347,0.7689393939393939,0.5492424242424243,0.6376050420168067,0.6601890756302521
0.1,0.001,20.0,corn,1,002|006,1,1.1285714285714286,1.6295238095238094,3,3,3,25,0.1380952380952381,-0.17517400188782983,210,2.052380952380952,0.1761904761904762,1.861904761904762,0.1380952380952381,14.0,48.0,57.0,30.0,61.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312,1.3541016123050573,1.058967792348798,1.1470246121279168,6,5,0.39618059326960575,2.0,1.2967037670381867,0.3586563210574153,1.1690476190476193,0.3833333333333333,1.1746215992377058,0.4462555214087728,1.1608076884341667,0.39618059326960575,0,1.2979552586294159,0.2711306812430408,1.5933288409703503,0.26302785265049416,1.4804335585585586,0.26421734234234234,1.3624636627906976,0.34011627906976744,0.9583333333333334,0.48269980506822613,0.7803030303030303,0.5454545454545454,0.6528361344537815,0.6066176470588236
0.1,0.001,20.0,corn,1,002|006,1,1.0857142857142856,1.716190476190476,3,3,3,26,0.21428571428571427,-0.17677149334418396,210,1.9,0.24285714285714285,1.6761904761904762,0.21428571428571427,19.0,86.0,34.0,23.0,48.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312,1.3073546274073538,1.1774677426168587,1.2545807933796946,3,3,0.38503569050580433,2.0,1.2131520028008835,0.39689442338536374,1.4261904761904762,0.35000000000000003,1.3350069559950306,0.41868102864160184,1.3073546274073538,0.38503569050580433,1,1.4623443668387488,0.3093936633262476,1.5772686433063792,0.2644878706199461,1.6707488738738738,0.28350225225225223,1.572674418604651,0.3054142441860465,1.3555068226120857,0.3679337231968811,0.7613636363636364,0.5757575757575757,0.7515756302521008,0.5887605042016807
0.1,0.001,20.0,corn,1,002|006,0,1.119047619047619,1.5952380952380953,17,12,17,42,0.3238095238095238,-0.09357510633534805,210,1.5952380952380953,0.3238095238095238,1.5857142857142856,0.3238095238095238,83.0,31.0,36.0,14.0,46.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312,1.2221139441559905,1.1539132466205841,1.2199589076411002,21,3,0.43035382251459947,2.0,1.2537482942357445,0.3842376309666873,1.2285714285714286,0.40714285714285714,1.1911589099926547,0.4635393485352761,1.1539132466205841,0.43035382251459947,0,1.4141107399534367,0.32052839356210144,1.4166666666666665,0.3498427672955975,1.3039132882882882,0.3730292792792793,1.2888808139534884,0.3675508720930233,1.1469298245614035,0.4300682261208577,0.7878787878787878,0.5795454545454546,0.7190126050420168,0.5919117647058824
0.1,0.001,20.0,corn,2,003|007,0,1.2364341085271318,1.4186046511627906,6,6,6,27,0.3643410852713178,0.362957187154333,258,1.302325581395349,0.37209302325581395,1.2364341085271318,0.3643410852713178,68.0,56.0,45.0,34.0,55.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236,0.7178747139091459,0.7178747139091459,0.7664431744363259,8,4,0.48318275602280475,2.0,1.3410835247478476,0.31981454818929944,0.7738095238095237,0.5095238095238095,0.8231056203904401,0.5039017813747727,0.8278505216032158,0.48318275602280475,0,1.108240360148757,0.4245122985581001,0.8606150793650793,0.4935515873015873,0.8172751859364435,0.4710108181203516,0.8311115668580804,0.46410992616899094,0.7782012195121951,0.5007621951219512,0.7388565891472868,0.5037144702842378,0.6606536502546689,0.5246179966044142
0.1,0.001,20.0,corn,2,003|007,0,1.441860465116279,1.5031007751937984,15,11,15,28,0.3062015503875969,0.24433930381885782,258,1.441860465116279,0.32945736434108525,1.441860465116279,0.3062015503875969,89.0,48.0,43.0,31.0,47.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236,0.9297216375684644,0.7877347408985667,0.8028636282239905,8,7,0.5095364877230121,2.0,1.2289408783395106,0.35591885776915155,0.7666666666666666,0.5119047619047619,0.8206577064666958,0.5123423461942921,0.7983623172461166,0.5095364877230121,1,1.0279571997129249,0.4393227637502447,0.9915674603174602,0.46279761904761907,0.80789384719405,0.46864435429344153,0.739335520918786,0.5283018867924528,0.6486280487804879,0.575584349593496,0.747093023255814,0.5256782945736435,0.6260611205432938,0.5664261460101867
