dropout,lr,window_seconds,loss,fold,val_pids,seed,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,lbl_loa0,lbl_loa1,lbl_loa2,lbl_loa3,lbl_loa4,trn_loa0,trn_loa1,trn_loa2,trn_loa3,trn_loa4,adapt_at_best,best_adapt_mae,smoothed_best_adapt_mae,best_epoch_smoothed_adapt,best_epoch_1se_adapt,adapt_acc_at_best_adapt,adapt_n_drivers,init_adapt_set_mae,init_adapt_set_acc,adapt_mae_tail,adapt_acc_tail,adapt_mae_argmax,adapt_acc_argmax,adapt_mae_median,adapt_acc_median,embed_fcd,adapt_mae_k5,adapt_acc_k5,adapt_mae_k10,adapt_acc_k10,adapt_mae_k20,adapt_acc_k20,adapt_mae_k30,adapt_acc_k30,adapt_mae_k40,adapt_acc_k40,adapt_mae_k50,adapt_acc_k50,adapt_mae_k60,adapt_acc_k60
0.2,0.002,20.0,corn,0,001|005,0,1.4508196721311475,1.601639344262295,6,6,6,24,0.2827868852459016,0.06374330333552825,244,1.540983606557377,0.3360655737704918,1.4508196721311475,0.2827868852459016,36.0,62.0,82.0,31.0,33.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227,1.244145700910774,1.0700849574958302,1.146884361763203,5,5,0.43971627048953477,2.0,1.2965231917669588,0.31768585231329227,1.2595238095238093,0.40714285714285714,1.184447717467357,0.4613539029049943,1.1521925586838957,0.43971627048953477,1,1.418925831202046,0.32053343076360974,1.3330940988835724,0.3616427432216906,1.0809615384615383,0.45769230769230773,1.1869976359338061,0.4419621749408984,1.137202380952381,0.46071428571428574,1.0586872586872587,0.4677606177606178,0.8494791666666667,0.5677083333333333
0.2,0.002,20.0,corn,1,002|006,0,1.1666666666666667,1.519047619047619,3,3,3,24,0.2904761904761905,-0.13468451580177754,210,1.7571428571428571,0.30952380952380953,1.5904761904761904,0.2904761904761905,57.0,49.0,40.0,17.0,47.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312,1.056816155342267,1.056816155342267,1.1875087987695712,16,3,0.4049899310891334,2.0,1.2264727224425598,0.4040721990667625,1.4047619047619047,0.3904761904761905,1.3207135832845065,0.4215410616168871,1.2508553803284208,0.4049899310891334,1,1.4790464621925294,0.31501164085433747,1.4505840071877807,0.31042228212039535,1.3817567567567568,0.3818975225225225,1.3470203488372094,0.3831758720930233,1.1998050682261208,0.3930311890838207,0.9886363636363635,0.5151515151515151,0.9091386554621849,0.5362394957983193
0.2,0.002,20.0,corn,0,001|005,1,1.4057377049180328,1.5827868852459015,10,7,10,24,0.32786885245901637,0.030054575130062156,244,1.6598360655737705,0.3401639344262295,1.6270491803278688,0.32786885245901637,102.0,28.0,91.0,12.0,11.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227,1.2621549611012466,1.1344255356547768,1.2016127662406504,3,3,0.43514142091016955,2.0,1.2761556590298802,0.35474347403423767,1.2571428571428571,0.4261904761904761,1.1134436281812028,0.48786693084601407,1.1344255356547768,0.43514142091016955,1,1.2486298867373036,0.3329923273657289,1.2749601275917066,0.3877990430622009,1.1565384615384615,0.4517307692307692,1.2367612293144208,0.4091016548463357,1.19375,0.4363095238095238,1.0944015444015445,0.46138996138996136,0.7359375,0.5666666666666667
0.2,0.002,20.0,corn,1,002|006,1,1.1238095238095238,1.684761904761905,4,3,4,29,0.23333333333333334,-0.15280966164287846,210,1.7523809523809524,0.2857142857142857,1.6666666666666667,0.23333333333333334,23.0,71.0,41.0,22.0,53.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312,1.1607050959373795,1.095591013624674,1.1288633232896719,7,6,0.45636067201189046,2.0,1.2131520028008835,0.39689442338536374,1.3714285714285714,0.42142857142857143,1.2433629567679823,0.47300774832894976,1.1892058042548492,0.45636067201189046,1,1.5220670108310559,0.38354084421500156,1.533805031446541,0.35455974842767296,1.5636261261261262,0.31264076576576577,1.2123909883720931,0.4296875,1.0243664717348928,0.45760233918128657,0.7575757575757576,0.6136363636363636,0.710609243697479,0.6428571428571428
0.2,0.002,20.0,corn,3,004|008,0,0.9875,1.434722222222222,25,7,25,26,0.30416666666666664,0.015423621381787433,240,1.4541666666666666,0.2916666666666667,1.4333333333333333,0.30416666666666664,73.0,43.0,48.0,25.0,51.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319,0.588454631537539,0.47501612706865914,0.5161435114709217,3,3,0.5226843569168625,2.0,0.5963572112834098,0.46679697028273426,0.5547619047619048,0.5071428571428571,0.5419210213780085,0.5291929225782246,0.5427625056074669,0.5226843569168625,1,0.6677155205095155,0.39790734703161723,0.618368700265252,0.439157824933687,0.5051184263348053,0.5615214773183461,0.5238095238095237,0.5461309523809523,0.4849151477058454,0.5790383406662476,0.48930921052631576,0.5921052631578947,0.5101010101010102,0.5429292929292929
0.2,0.002,20.0,corn,2,003|007,1,1.4147286821705427,1.5325581395348837,8,6,8,27,0.29844961240310075,0.29848471100626073,258,1.4147286821705427,0.32170542635658916,1.4147286821705427,0.29844961240310075,42.0,56.0,42.0,48.0,70.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236,0.7378289987156598,0.6456655273519434,0.7241084007210755,4,4,0.49975778430503615,2.0,1.0913908603446145,0.3849597330378356,0.8333333333333334,0.5119047619047619,0.8601698204171478,0.5018525602457103,0.8230265263205905,0.49975778430503615,1,0.9693351601748548,0.5150388203823318,1.0376984126984128,0.45287698412698413,0.9466700473292766,0.43610547667342797,0.716160787530763,0.5203035274815422,0.6529471544715447,0.5303607723577235,0.7333656330749354,0.5151808785529716,0.7050084889643464,0.5284380305602716
0.2,0.002,20.0,corn,2,003|007,0,1.4844961240310077,1.5939922480620154,29,7,29,31,0.21705426356589147,0.16199857354897174,258,1.5193798449612403,0.22093023255813954,1.5232558139534884,0.21705426356589147,72.0,38.0,70.0,42.0,36.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236,1.1314709522088167,0.6590593296813725,0.7176605451320139,8,8,0.5443728462170699,2.0,1.2289408783395106,0.35591885776915155,0.5857142857142857,0.5619047619047619,0.6658164061404337,0.5657474222673334,0.6660819936391733,0.5443728462170699,1,0.9977490702681543,0.4472499510667449,0.7797619047619047,0.5188492063492064,0.6810344827586207,0.5368492224475997,0.550143560295324,0.5920836751435603,0.582444105691057,0.5669461382113821,0.6232235142118863,0.5382751937984496,0.44821731748726656,0.6103565365025467
0.2,0.002,20.0,corn,3,004|008,1,1.2083333333333333,1.3358333333333334,36,33,36,44,0.22916666666666666,0.03708348262271599,240,1.6333333333333333,0.2375,1.6375,0.22916666666666666,31.0,45.0,73.0,26.0,65.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319,0.6161698113488592,0.5375453632896715,0.5558667486369935,11,3,0.5139510771847174,2.0,0.6046574994455696,0.4616512188676509,0.5785714285714285,0.5071428571428571,0.5759522842772014,0.5147760132242353,0.5533431181625548,0.5139510771847174,1,0.5879141708999924,0.4763439229661081,0.5935013262599469,0.460709549071618,0.5883179446005621,0.49779205138498595,0.5245535714285714,0.5535714285714286,0.5053425518541798,0.5586109365179133,0.5485197368421053,0.5304276315789473,0.5252525252525253,0.5202020202020202
0.2,0.002,20.0,corn,4,009|011,0,1.0,1.1136,8,6,8,29,0.476,0.5577344441039931,250,1.048,0.528,1.0,0.476,68.0,84.0,18.0,11.0,69.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227,0.8035569918114379,0.8035569918114379,0.8411225376414126,9,7,0.5809420124761293,2.0,1.5916794378834358,0.34392734575334144,0.9095238095238094,0.55,0.8767140532243063,0.594719187604324,0.8417814569663655,0.5809420124761293,1,1.108317619945527,0.5059710873664363,1.025030432136336,0.5050213024954352,0.7741228070175439,0.6099232456140351,0.8101520572450805,0.5908989266547406,0.7497200447928332,0.6041433370660694,0.7516233766233766,0.5974025974025974,0.673503861003861,0.6532335907335908
0.2,0.002,20.0,corn,5,010|012,0,1.3934426229508197,1.6926229508196724,9,8,9,25,0.2786885245901639,-0.2893034384969868,244,1.8360655737704918,0.3360655737704918,1.848360655737705,0.2786885245901639,92.0,36.0,50.0,17.0,49.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274,1.1002857068352596,0.9907323933148071,1.06553821134416,4,3,0.519418375637502,2.0,1.203331079578862,0.43073950278056444,1.0857142857142859,0.49523809523809526,1.011994725507428,0.5244691922024859,0.9907323933148071,0.519418375637502,1,1.031861129422105,0.46253570643814546,1.0387751838823154,0.4951231212024304,1.0173611111111112,0.5028935185185185,0.9794731846226863,0.5548172757475083,0.9697966507177034,0.5460526315789473,0.9283216783216783,0.5524475524475525,0.9695378151260504,0.5220588235294117
