dropout,lr,window_seconds,loss,fold,val_pids,seed,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,lbl_loa0,lbl_loa1,lbl_loa2,lbl_loa3,lbl_loa4,trn_loa0,trn_loa1,trn_loa2,trn_loa3,trn_loa4
0.1,0.001,10.0,ce,0,001|005,1,1.4877049180327868,1.6057377049180328,19,7,19,30,0.36065573770491804,0.13569233075942733,244,1.5573770491803278,0.36065573770491804,1.5655737704918034,0.3319672131147541,89.0,53.0,51.0,13.0,38.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,ce,0,001|005,2,1.5245901639344261,1.5959016393442624,11,8,11,30,0.2786885245901639,0.11433157035762898,244,1.5901639344262295,0.2786885245901639,1.5737704918032787,0.26229508196721313,74.0,70.0,70.0,13.0,17.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,ce,0,001|005,0,1.5040983606557377,1.648360655737705,23,7,23,37,0.27459016393442626,0.049614041418059474,244,1.6844262295081966,0.27459016393442626,1.651639344262295,0.2786885245901639,89.0,62.0,62.0,18.0,13.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,ce,0,001|005,3,1.5040983606557377,1.6180327868852458,11,7,11,40,0.3319672131147541,0.07204968133753442,244,1.5901639344262295,0.3319672131147541,1.5819672131147542,0.3237704918032787,89.0,47.0,70.0,20.0,18.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,ce,0,001|005,4,1.5737704918032787,1.6991803278688522,23,13,23,28,0.21721311475409835,-0.017330791483915586,244,1.7827868852459017,0.21721311475409835,1.7622950819672132,0.21311475409836064,78.0,77.0,64.0,16.0,9.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,ce,1,002|006,1,1.480952380952381,1.6733333333333331,17,3,17,26,0.28095238095238095,-0.13647535058551385,210,1.7285714285714286,0.28095238095238095,1.7142857142857142,0.29523809523809524,57.0,32.0,34.0,24.0,63.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,ce,1,002|006,0,1.4428571428571428,1.5780952380952382,21,13,21,34,0.30952380952380953,-0.07512926894070993,210,1.6095238095238096,0.30952380952380953,1.5904761904761904,0.3,76.0,32.0,24.0,30.0,48.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,ce,1,002|006,2,1.5095238095238095,1.7228571428571429,11,8,11,33,0.2571428571428571,-0.13336878803994567,210,1.7428571428571429,0.2571428571428571,1.7095238095238094,0.2619047619047619,76.0,34.0,28.0,12.0,60.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,ce,2,003|007,1,1.2674418604651163,1.482170542635659,6,5,6,25,0.32945736434108525,0.07028249776421702,258,1.5852713178294573,0.32945736434108525,1.5348837209302326,0.313953488372093,124.0,73.0,20.0,15.0,26.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,10.0,ce,2,003|007,0,1.5077519379844961,1.603875968992248,19,19,19,40,0.32945736434108525,0.21127102591915048,258,1.5077519379844961,0.32945736434108525,1.496124031007752,0.3178294573643411,120.0,30.0,30.0,20.0,58.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
