dropout,lr,window_seconds,loss,fold,val_pids,seed,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,lbl_loa0,lbl_loa1,lbl_loa2,lbl_loa3,lbl_loa4,trn_loa0,trn_loa1,trn_loa2,trn_loa3,trn_loa4
0.1,0.001,10.0,corn,0,001|005,2,1.4754098360655739,1.5557377049180328,11,10,11,32,0.2827868852459016,0.132943143812709,244,1.4836065573770492,0.3319672131147541,1.4754098360655739,0.2827868852459016,57.0,57.0,80.0,27.0,23.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,corn,0,001|005,1,1.4836065573770492,1.5778688524590163,13,13,13,33,0.319672131147541,0.034954029652944585,244,1.7418032786885247,0.3237704918032787,1.7254098360655739,0.319672131147541,121.0,32.0,74.0,9.0,8.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,corn,0,001|005,0,1.4959016393442623,1.5598360655737704,18,16,18,37,0.3483606557377049,0.08138605676494914,244,1.5450819672131149,0.36885245901639346,1.5204918032786885,0.3483606557377049,69.0,51.0,61.0,27.0,36.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,corn,0,001|005,3,1.4057377049180328,1.509016393442623,27,25,27,47,0.319672131147541,0.12056813327637772,244,1.5778688524590163,0.30327868852459017,1.5327868852459017,0.319672131147541,87.0,44.0,79.0,20.0,14.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,corn,0,001|005,4,1.5,1.5737704918032787,8,7,8,24,0.29918032786885246,0.07696552525340539,244,1.6065573770491803,0.32786885245901637,1.5245901639344261,0.29918032786885246,66.0,60.0,97.0,10.0,11.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,corn,1,002|006,1,1.1666666666666667,1.6923809523809523,3,3,3,24,0.2523809523809524,-0.18226416507508536,210,1.6857142857142857,0.3333333333333333,1.5809523809523809,0.2523809523809524,70.0,62.0,37.0,9.0,32.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,corn,1,002|006,0,1.138095238095238,1.646666666666667,3,3,3,28,0.20952380952380953,-0.21422850780380132,210,2.357142857142857,0.16666666666666666,1.8857142857142857,0.20952380952380953,8.0,25.0,59.0,53.0,65.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,corn,1,002|006,2,1.1761904761904762,1.5295238095238095,3,3,3,24,0.2714285714285714,-0.1577174585213741,210,1.8,0.32857142857142857,1.5238095238095237,0.2714285714285714,32.0,74.0,49.0,25.0,30.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,corn,1,002|006,3,1.1428571428571428,1.56,3,3,3,24,0.3333333333333333,-0.027871215761652968,210,1.5666666666666667,0.4095238095238095,1.338095238095238,0.3333333333333333,37.0,48.0,72.0,33.0,20.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,corn,2,003|007,0,1.5813953488372092,1.652454780361757,25,6,25,26,0.22868217054263565,0.05172317696237816,258,1.7015503875968991,0.2364341085271318,1.686046511627907,0.22868217054263565,82.0,57.0,45.0,37.0,37.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,10.0,corn,1,002|006,4,1.2904761904761906,1.6942857142857144,3,3,3,26,0.19047619047619047,-0.1799635047413921,210,2.142857142857143,0.1619047619047619,1.8333333333333333,0.19047619047619047,22.0,52.0,37.0,36.0,63.0,1.1238095238095238,1,0.46190476190476193,0,97,35,53,57,7,415,284,172,121,312
0.1,0.001,10.0,corn,2,003|007,1,1.4922480620155039,1.6651162790697676,9,7,9,32,0.20155038759689922,0.05125336160021987,258,1.6627906976744187,0.2131782945736434,1.6434108527131783,0.20155038759689922,73.0,30.0,92.0,27.0,36.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,10.0,corn,2,003|007,4,1.434108527131783,1.541860465116279,3,3,3,24,0.24031007751937986,0.1638299242342941,258,1.4883720930232558,0.29069767441860467,1.434108527131783,0.24031007751937986,41.0,87.0,69.0,34.0,27.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,10.0,corn,2,003|007,3,1.3953488372093024,1.5426356589147288,33,11,33,42,0.26744186046511625,0.15932774917941628,258,1.5426356589147288,0.2713178294573643,1.5426356589147288,0.26744186046511625,97.0,50.0,43.0,29.0,39.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,10.0,corn,3,004|008,0,0.7708333333333334,1.215,22,18,22,39,0.36666666666666664,0.0992541594951234,240,1.1625,0.36666666666666664,1.1333333333333333,0.36666666666666664,62.0,45.0,83.0,27.0,23.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,10.0,corn,3,004|008,3,1.0666666666666667,1.5383333333333333,3,3,3,24,0.30833333333333335,-0.010743446497636366,240,1.5416666666666667,0.31666666666666665,1.3916666666666666,0.30833333333333335,40.0,58.0,80.0,17.0,45.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,10.0,corn,3,004|008,2,1.0375,1.1766666666666667,12,11,12,34,0.3416666666666667,0.06408142377892756,240,1.3125,0.37083333333333335,1.3208333333333333,0.3416666666666667,63.0,50.0,53.0,33.0,41.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,10.0,corn,3,004|008,1,1.0458333333333334,1.5208333333333335,14,14,14,35,0.29583333333333334,-0.04504504504504481,240,1.5458333333333334,0.30833333333333335,1.4875,0.29583333333333334,49.0,47.0,78.0,17.0,49.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,10.0,corn,2,003|007,2,1.4651162790697674,1.6612403100775197,18,15,18,38,0.15891472868217055,-0.04842173276828654,258,1.7984496124031009,0.16666666666666666,1.7945736434108528,0.15891472868217055,83.0,43.0,67.0,31.0,34.0,1.4224806201550388,1,0.32170542635658916,4,74,72,14,15,83,438,247,211,163,236
0.1,0.001,10.0,corn,4,009|011,2,1.028,1.164,8,8,8,27,0.404,0.33630328739274384,250,1.344,0.452,1.332,0.404,88.0,52.0,31.0,26.0,53.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,10.0,corn,4,009|011,0,1.152,1.2648,9,7,9,32,0.352,0.2869230355252851,250,1.428,0.408,1.384,0.352,76.0,45.0,39.0,36.0,54.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,10.0,corn,4,009|011,1,1.136,1.3168,21,16,21,40,0.328,0.2717537049072821,250,1.488,0.328,1.452,0.328,92.0,64.0,43.0,22.0,29.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,10.0,corn,4,009|011,4,1.052,1.1496,4,4,4,25,0.392,0.5365512416928997,250,1.072,0.536,1.052,0.392,44.0,99.0,28.0,19.0,60.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,10.0,corn,4,009|011,3,1.188,1.3679999999999999,8,5,8,28,0.288,0.17992283597340009,250,1.656,0.38,1.62,0.288,119.0,49.0,39.0,31.0,12.0,1.468,3,0.368,4,79,43,11,45,92,433,276,214,133,227
0.1,0.001,10.0,corn,3,004|008,4,1.0083333333333333,1.3850000000000002,89,85,89,100,0.35,0.06447233667563768,240,1.4333333333333333,0.35,1.4333333333333333,0.35,77.0,27.0,59.0,12.0,65.0,0.5375,1,0.4708333333333333,0,113,111,42,1,0,399,208,183,177,319
0.1,0.001,10.0,corn,5,010|012,0,1.2991803278688525,1.7442622950819673,3,3,3,44,0.22131147540983606,-0.2556995478570976,244,2.122950819672131,0.2336065573770492,1.8073770491803278,0.22131147540983606,58.0,67.0,49.0,28.0,42.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.001,10.0,corn,5,010|012,2,1.2745901639344261,1.7459016393442623,3,3,3,24,0.18442622950819673,-0.3236950600014725,244,1.9549180327868851,0.22131147540983606,1.7254098360655739,0.18442622950819673,36.0,129.0,27.0,22.0,30.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.001,10.0,corn,5,010|012,1,1.3565573770491803,1.7450819672131146,19,13,19,32,0.27049180327868855,-0.22061852403434856,244,1.6926229508196722,0.30327868852459017,1.6926229508196722,0.27049180327868855,85.0,73.0,28.0,18.0,40.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.001,10.0,corn,5,010|012,3,1.3401639344262295,1.6918032786885244,5,3,5,27,0.22950819672131148,-0.18657770246416727,244,1.680327868852459,0.3114754098360656,1.6311475409836065,0.22950819672131148,55.0,61.0,62.0,45.0,21.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.002,10.0,corn,0,001|005,0,1.4221311475409837,1.601639344262295,19,18,19,27,0.3360655737704918,0.10486885873244833,244,1.4549180327868851,0.3401639344262295,1.4549180327868851,0.3360655737704918,58.0,66.0,81.0,21.0,18.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
0.1,0.001,10.0,corn,5,010|012,4,1.3811475409836065,1.6598360655737703,13,11,13,34,0.30327868852459017,-0.12615698198950787,244,1.5163934426229508,0.3401639344262295,1.528688524590164,0.30327868852459017,93.0,59.0,46.0,16.0,30.0,1.2049180327868851,1,0.4098360655737705,0,100,41,57,1,45,412,278,168,177,274
0.1,0.002,10.0,corn,0,001|005,1,1.4426229508196722,1.587704918032787,11,10,11,30,0.3360655737704918,0.04796913715773288,244,1.6885245901639345,0.3524590163934426,1.639344262295082,0.3360655737704918,99.0,43.0,60.0,24.0,18.0,1.209016393442623,3,0.3770491803278688,4,49,17,48,59,92,463,302,177,119,227
