pid,condition,k,file,set_mae,set_qwk,set_acc,grad_norm,n_pool,n_tail,verify
001,0,0,xlstm_p001_k0.pt,0.42857142857142855,0.0,0.5714285714285714,0.0,17,7,MATCH  d=+5.6e-17
001,1,4,xlstm_p001_k1.pt,1.0,0.0,0.14285714285714285,0.00018190903938375413,17,7,MATCH  d=+0.0e+00
001,2,8,xlstm_p001_k2.pt,0.5714285714285714,0.33333333333333337,0.42857142857142855,9.20798356673913e-06,17,7,MATCH  d=+0.0e+00
002,0,0,xlstm_p002_k0.pt,1.0,0.0,0.0,0.0,13,5,MATCH  d=+0.0e+00
002,1,4,xlstm_p002_k1.pt,0.6,0.0,0.4,6.414424569811672e-05,13,5,MATCH  d=+0.0e+00
002,2,8,xlstm_p002_k2.pt,0.2,0.0,0.8,0.00013647516607306898,13,5,MATCH  d=+0.0e+00
003,0,0,xlstm_p003_k0.pt,2.0,-0.006993006993007089,0.0,0.0,18,8,MATCH  d=+0.0e+00
003,1,4,xlstm_p003_k1.pt,0.5,0.3846153846153846,0.625,2.498982532017635e-08,18,8,MATCH  d=+0.0e+00
003,2,8,xlstm_p003_k2.pt,1.375,-0.07692307692307687,0.125,5.4411724903502545e-08,18,8,MATCH  d=+0.0e+00
004,0,0,xlstm_p004_k0.pt,0.6,0.0,0.4,0.0,13,5,MATCH  d=+0.0e+00
004,1,4,xlstm_p004_k1.pt,0.2,0.0,0.8,9.684603719506413e-05,13,5,MATCH  d=+0.0e+00
004,2,8,xlstm_p004_k2.pt,0.0,1.0,1.0,1.2033469829475507e-05,13,5,MATCH  d=+0.0e+00
005,0,0,xlstm_p005_k0.pt,1.125,0.03703703703703709,0.125,0.0,20,8,MATCH  d=+0.0e+00
005,1,4,xlstm_p005_k1.pt,1.125,0.03703703703703709,0.125,6.78575161146e-05,20,8,MATCH  d=+0.0e+00
005,2,8,xlstm_p005_k2.pt,0.75,0.0,0.25,1.0195292816206347e-05,20,8,MATCH  d=+0.0e+00
006,0,0,xlstm_p006_k0.pt,0.7142857142857143,0.0,0.42857142857142855,0.0,15,7,MATCH  d=+0.0e+00
006,1,4,xlstm_p006_k1.pt,1.1428571428571428,0.0,0.0,0.000500922673381865,15,7,MATCH  d=+0.0e+00
006,2,8,xlstm_p006_k2.pt,0.5714285714285714,0.0,0.5714285714285714,1.8781962353386916e-05,15,7,MATCH  d=+0.0e+00
007,0,0,xlstm_p007_k0.pt,1.125,0.16129032258064513,0.125,0.0,20,8,MATCH  d=+0.0e+00
007,1,4,xlstm_p007_k1.pt,0.375,0.0,0.625,1.2195810086268466e-06,20,8,MATCH  d=+0.0e+00
007,2,8,xlstm_p007_k2.pt,0.25,0.3846153846153846,0.75,1.6457650417578407e-05,20,8,MATCH  d=+0.0e+00
008,0,0,xlstm_p008_k0.pt,1.375,0.050000000000000044,0.125,0.0,20,8,MATCH  d=+0.0e+00
008,1,4,xlstm_p008_k1.pt,1.5,0.0,0.125,0.00015418333350680768,20,8,MATCH  d=+0.0e+00
008,2,8,xlstm_p008_k2.pt,1.375,0.050000000000000044,0.125,0.005967147648334503,20,8,MATCH  d=+0.0e+00
009,0,0,xlstm_p009_k0.pt,0.625,-0.46666666666666656,0.625,0.0,17,8,MATCH  d=+0.0e+00
009,1,4,xlstm_p009_k1.pt,0.375,-0.19999999999999996,0.625,1.9602966858656146e-05,17,8,MATCH  d=+0.0e+00
009,2,8,xlstm_p009_k2.pt,0.375,-0.19999999999999996,0.625,6.3233728724299e-06,17,8,MATCH  d=+0.0e+00
010,0,0,xlstm_p010_k0.pt,0.2857142857142857,0.0,0.7142857142857143,0.0,17,7,MATCH  d=+0.0e+00
010,1,4,xlstm_p010_k1.pt,0.14285714285714285,0.0,0.8571428571428571,0.0004279949644114822,17,7,MATCH  d=+5.6e-17
010,2,8,xlstm_p010_k2.pt,0.0,1.0,1.0,6.387875328073278e-05,17,7,MATCH  d=+0.0e+00
011,0,0,xlstm_p011_k0.pt,2.1,-0.08058608058608074,0.1,0.0,22,10,MATCH  d=+0.0e+00
011,1,4,xlstm_p011_k1.pt,1.2,-0.021897810218978186,0.4,0.00018458100385032594,22,10,MATCH  d=+0.0e+00
011,2,8,xlstm_p011_k2.pt,0.7,0.21052631578947367,0.4,2.3125330699258484e-06,22,10,MATCH  d=+0.0e+00
012,0,0,xlstm_p012_k0.pt,0.0,1.0,1.0,0.0,13,6,MATCH  d=+0.0e+00
012,1,4,xlstm_p012_k1.pt,0.3333333333333333,0.0,0.6666666666666666,0.00012314060586504638,13,6,MATCH  d=+0.0e+00
012,2,8,xlstm_p012_k2.pt,0.0,1.0,1.0,0.0007174646016210318,13,6,MATCH  d=+0.0e+00
