epoch,set_acc,macro_f1,set_mae,qwk,lr,val_n,const_set_mae,const_loa_mae,const_set_acc,const_loa_acc,pdconst_set_mae,pdconst_set_acc,pdconst_oracle_set_mae,pdconst_n_drivers,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,init_set_mae,init_set_acc,selectable
0,0.17647058823529413,0.1010563123770671,1.4221453287197232,0.00930854769933942,0.0003378995433789954,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.671280276816609,0.3460207612456747,1.4221453287197232,0.17647058823529413,5,206,77,1,0,1.5813148788927336,0.33217993079584773,0
1,0.1972318339100346,0.15871564607473299,1.28719723183391,0.23670901689897628,0.0006712328767123288,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.4463667820069204,0.4083044982698962,1.28719723183391,0.1972318339100346,30,122,108,29,0,1.5813148788927336,0.33217993079584773,0
2,0.23183391003460208,0.2196769790829182,1.2975778546712802,0.22278409520025488,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.4844290657439447,0.4186851211072664,1.2975778546712802,0.23183391003460208,20,111,89,50,19,1.5813148788927336,0.33217993079584773,0
3,0.2698961937716263,0.24056765045268844,1.2387543252595157,0.25522790313379107,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.2387543252595157,0.43944636678200694,1.2387543252595157,0.2698961937716263,42,99,77,68,3,1.5813148788927336,0.33217993079584773,1
4,0.3944636678200692,0.3880174191235559,1.179930795847751,0.34308478240021967,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.3114186851211074,0.44982698961937717,1.179930795847751,0.3944636678200692,29,82,55,54,69,1.5813148788927336,0.33217993079584773,1
5,0.39100346020761245,0.38051818827938233,1.055363321799308,0.4038768588122589,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1314878892733564,0.4532871972318339,1.055363321799308,0.39100346020761245,71,82,84,20,32,1.5813148788927336,0.33217993079584773,1
6,0.370242214532872,0.3683086668317154,1.1072664359861593,0.39928496203092956,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1211072664359862,0.4602076124567474,1.1072664359861593,0.370242214532872,41,89,70,39,50,1.5813148788927336,0.33217993079584773,1
7,0.43944636678200694,0.43183181198628723,1.0588235294117647,0.45929549408709247,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0899653979238755,0.5086505190311419,1.0588235294117647,0.43944636678200694,38,59,43,87,62,1.5813148788927336,0.33217993079584773,1
8,0.4671280276816609,0.4548298341482121,1.027681660899654,0.4559255595673186,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0795847750865053,0.5224913494809689,1.027681660899654,0.4671280276816609,77,66,44,40,62,1.5813148788927336,0.33217993079584773,1
9,0.4740484429065744,0.46162789346398425,1.0173010380622838,0.45882261147739245,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0346020761245676,0.5190311418685121,1.0173010380622838,0.4740484429065744,68,55,50,49,67,1.5813148788927336,0.33217993079584773,1
10,0.4740484429065744,0.47977094952471144,1.065743944636678,0.399268677550525,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0865051903114187,0.5017301038062284,1.065743944636678,0.4740484429065744,46,78,48,50,67,1.5813148788927336,0.33217993079584773,1
11,0.5051903114186851,0.5022819746763408,1.0449826989619377,0.42531854423377713,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1072664359861593,0.5051903114186851,1.0449826989619377,0.5051903114186851,62,61,39,54,73,1.5813148788927336,0.33217993079584773,1
12,0.4740484429065744,0.45066492066785563,1.1176470588235294,0.4280004762749905,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1522491349480968,0.5190311418685121,1.1176470588235294,0.4740484429065744,87,54,21,47,80,1.5813148788927336,0.33217993079584773,1
13,0.4809688581314879,0.4693448711733753,1.1141868512110726,0.3810656202723147,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1522491349480968,0.4982698961937716,1.1141868512110726,0.4809688581314879,92,60,34,37,66,1.5813148788927336,0.33217993079584773,1
14,0.4913494809688581,0.47413754934676877,1.0968858131487889,0.4110355894320592,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1487889273356402,0.4982698961937716,1.0968858131487889,0.4913494809688581,86,43,40,44,76,1.5813148788927336,0.33217993079584773,1
15,0.49480968858131485,0.4647368694846465,1.0484429065743945,0.4480404480960086,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0346020761245676,0.5086505190311419,1.0484429065743945,0.49480968858131485,78,60,38,33,80,1.5813148788927336,0.33217993079584773,1
16,0.47750865051903113,0.4604219465986136,1.2041522491349481,0.3462116258107846,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.217993079584775,0.47750865051903113,1.2041522491349481,0.47750865051903113,92,42,32,36,87,1.5813148788927336,0.33217993079584773,1
17,0.47750865051903113,0.4757633105940169,1.1349480968858132,0.3682898183275697,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1695501730103806,0.4809688581314879,1.1349480968858132,0.47750865051903113,92,46,39,44,68,1.5813148788927336,0.33217993079584773,1
18,0.5017301038062284,0.4709211684840538,0.986159169550173,0.4969603198829332,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,0.9930795847750865,0.5190311418685121,0.986159169550173,0.5017301038062284,86,55,38,38,72,1.5813148788927336,0.33217993079584773,1
19,0.47750865051903113,0.4548034583781012,1.065743944636678,0.4498822822221109,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0795847750865053,0.48788927335640137,1.065743944636678,0.47750865051903113,86,55,34,34,80,1.5813148788927336,0.33217993079584773,1
20,0.5086505190311419,0.4957197838657693,1.027681660899654,0.44374284755811766,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0622837370242215,0.4982698961937716,1.027681660899654,0.5086505190311419,83,49,50,39,68,1.5813148788927336,0.33217993079584773,1
21,0.4913494809688581,0.4561113693817524,1.1314878892733564,0.3829086324361213,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1557093425605536,0.4913494809688581,1.1314878892733564,0.4913494809688581,101,50,33,38,67,1.5813148788927336,0.33217993079584773,1
22,0.5017301038062284,0.48580912663937126,1.1211072664359862,0.3951050373631937,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1453287197231834,0.5017301038062284,1.1211072664359862,0.5017301038062284,103,38,36,39,73,1.5813148788927336,0.33217993079584773,1
23,0.5086505190311419,0.4981019848525131,0.9896193771626297,0.4714365529986486,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.0380622837370241,0.4982698961937716,0.9896193771626297,0.5086505190311419,81,50,51,39,68,1.5813148788927336,0.33217993079584773,1
24,0.46366782006920415,0.44306995962890844,1.1730103806228374,0.3446399488758164,0.001,289,1.397923875432526,1,0.3737024221453287,0,1.2006920415224913,0.33217993079584773,1.065743944636678,12,1.1730103806228374,0.47058823529411764,1.1730103806228374,0.46366782006920415,99,63,35,32,60,1.5813148788927336,0.33217993079584773,1
