loss,dropout,lr,window_seconds,seed,split_mode,val_frac,best_set_mae,smoothed_best_set_mae,best_epoch_smoothed,best_epoch_1se,metrics_epoch,epochs_run,set_acc_at_best,qwk_at_best,val_n,mae_argmax,acc_argmax,mae_median,acc_median,pred_loa0,pred_loa1,pred_loa2,pred_loa3,pred_loa4,const_set_mae,const_loa_mae,pdconst_set_mae,pdconst_set_acc,pdconst_oracle_set_mae,pdconst_n_drivers,init_set_mae
corn,0.15,0.001,10.0,0,within-driver,0.2,0.9342560553633218,1.0179930795847751,7,6,7,26,0.47058823529411764,0.41519706781585,289,1.0484429065743945,0.5224913494809689,1.0484429065743945,0.47058823529411764,51.0,71.0,60.0,49.0,58.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5155709342560553
corn,0.15,0.001,10.0,1,within-driver,0.2,0.8235294117647058,0.8948096885813148,24,9,24,32,0.5397923875432526,0.5962037468277428,289,0.8754325259515571,0.5363321799307958,0.8373702422145328,0.5397923875432526,79.0,59.0,49.0,28.0,74.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5536332179930796
corn,0.15,0.001,10.0,2,within-driver,0.2,0.8615916955017301,0.9294117647058824,11,11,11,33,0.5536332179930796,0.49796609678773585,289,0.9307958477508651,0.5674740484429066,0.9204152249134948,0.5536332179930796,59.0,57.0,46.0,56.0,71.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.57439446366782
corn,0.15,0.001,10.0,3,within-driver,0.2,0.8477508650519031,0.9660899653979239,52,51,52,68,0.5813148788927336,0.5287934037858553,289,0.8788927335640139,0.5847750865051903,0.8788927335640139,0.5813148788927336,106.0,52.0,33.0,33.0,65.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5813148788927336
corn,0.15,0.001,10.0,4,within-driver,0.2,0.8685121107266436,0.970242214532872,8,6,8,28,0.46366782006920415,0.4752072595207866,289,1.0207612456747406,0.5155709342560554,1.0103806228373702,0.46366782006920415,83.0,54.0,51.0,54.0,47.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.491349480968858
corn,0.1,0.001,10.0,0,within-driver,0.2,0.9446366782006921,0.9688581314878894,32,30,32,34,0.532871972318339,0.485619278808898,289,0.9930795847750865,0.532871972318339,0.986159169550173,0.532871972318339,100.0,50.0,27.0,33.0,79.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5155709342560553
corn,0.1,0.001,10.0,1,within-driver,0.2,0.8546712802768166,0.9411764705882352,40,13,40,41,0.5570934256055363,0.49896682113588764,289,0.9134948096885813,0.5605536332179931,0.9204152249134948,0.5570934256055363,79.0,60.0,34.0,42.0,74.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5536332179930796
corn,0.1,0.001,10.0,2,within-driver,0.2,0.9238754325259516,0.9882352941176469,28,25,28,49,0.5467128027681661,0.5320433565520146,289,0.9273356401384083,0.5432525951557093,0.9238754325259516,0.5467128027681661,88.0,60.0,23.0,37.0,81.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.57439446366782
corn,0.1,0.001,10.0,3,within-driver,0.2,0.8719723183391004,0.9224913494809688,11,10,11,30,0.48788927335640137,0.4969501521225659,289,0.9307958477508651,0.5432525951557093,0.9619377162629758,0.48788927335640137,49.0,66.0,53.0,50.0,71.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.5813148788927336
corn,0.1,0.001,10.0,4,within-driver,0.2,0.8546712802768166,0.9633217993079585,9,7,9,28,0.4429065743944637,0.4312008268263616,289,1.179930795847751,0.47750865051903113,1.0934256055363323,0.4429065743944637,71.0,67.0,41.0,50.0,60.0,1.397923875432526,1.0,1.2006920415224913,0.33217993079584773,1.065743944636678,12.0,1.491349480968858
